
S&P 500 INDEX,Last: 6001.3501,Change:  5.8101
"Date: November 12, 2024 at 3:29 AM EST",Bid: 5957.6299,Ask: 6062.1299,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 20 2024,SPX241220C01000000,5006.58,14.33,4992.9,4999.5,1,0,1,0,28045,1000.00,SPX241220P01000000,0.06,0,0,0.1,0,1.5613,-0.0001,0,31090
Fri Dec 20 2024,SPX241220C01600000,4111.15,0,4396.6,4402.9,0,0,1,0,7,1600.00,SPX241220P01600000,0.05,0,0,0.1,1000,1.1568,-0.0001,0,11339
Fri Dec 20 2024,SPX241220C02000000,3965.71,0,3998.3,4005.1,0,0,1,0,14276,2000.00,SPX241220P02000000,0.05,-0.025,0,0.1,11,0.9664,-0.0001,0,31230
Fri Dec 20 2024,SPX241220C02400000,3617.56,17.21,3600.7,3607.5,20,0,1,0,363,2400.00,SPX241220P02400000,0.1,0,0,0.15,1000,0.8332,-0.0002,0,16490
Fri Dec 20 2024,SPX241220C02500000,2961.12,0,3501.6,3508,0,0,1,0,10,2500.00,SPX241220P02500000,0.1,0,0,0.15,9,0.7976,-0.0002,0,15062
Fri Dec 20 2024,SPX241220C02600000,3249.57,0,3401.8,3408.6,0,0,1,0,1992,2600.00,SPX241220P02600000,0.1,-0.025,0,0.15,13,0.7633,-0.0002,0,21997
Fri Dec 20 2024,SPX241220C02800000,2957.04,0,3202.8,3209.7,0,0,1,0,722,2800.00,SPX241220P02800000,0.14,-0.01,0.05,0.2,3,0.7244,-0.0003,0,21535
Fri Dec 20 2024,SPX241220C02850000,0,0,3153.6,3160.1,0,0,1,0,46,2850.00,SPX241220P02850000,0.15,-0.025,0.05,0.2,4,0.7083,-0.0004,0,2908
Fri Dec 20 2024,SPX241220C02900000,3107.48,4.03,3103.9,3110.4,1,0,1,0,30,2900.00,SPX241220P02900000,0.15,-0.025,0.05,0.2,1,0.6927,-0.0004,0,15553
Fri Dec 20 2024,SPX241220C02950000,2876.45,0,3054.2,3060.7,0,0,1,0,35,2950.00,SPX241220P02950000,0.15,-0.05,0.1,0.25,1,0.6946,-0.0004,0,1048
Fri Dec 20 2024,SPX241220C03175000,0,0,2830.5,2837,0,0,1,0,0,3175.00,SPX241220P03175000,0.25,-0.075,0.15,0.3,4,0.6391,-0.0007,0,1514
Fri Dec 20 2024,SPX241220C03200000,2535,0,2805.4,2812.2,0,0,1,0,306,3200.00,SPX241220P03200000,0.2,-0.125,0.15,0.3,16,0.6317,-0.0007,0,33392
Fri Dec 20 2024,SPX241220C03275000,0,0,2731.1,2737.6,0,0,1,0,0,3275.00,SPX241220P03275000,0.3,-0.075,0.2,0.35,1,0.6199,-0.0008,0,694
Fri Dec 20 2024,SPX241220C03300000,0,0,2706,2712.8,0,0,1,0,65,3300.00,SPX241220P03300000,0.29,-0.085,0.2,0.35,8,0.6126,-0.0009,0,17017
Fri Dec 20 2024,SPX241220C03350000,0,0,2656.6,2663.1,0,0,1,0,14,3350.00,SPX241220P03350000,0.32,-0.105,0.25,0.4,2,0.6064,-0.001,0,4093
Fri Dec 20 2024,SPX241220C03375000,0,0,2631.8,2638.2,0,0,1,0,0,3375.00,SPX241220P03375000,0.3,-0.15,0.25,0.4,1,0.5994,-0.001,0,1349
Fri Dec 20 2024,SPX241220C03400000,0,0,2606.4,2613.3,0,0,1,0,207,3400.00,SPX241220P03400000,0.35,-0.1,0.3,0.4,59,0.5958,-0.0011,0,16800
Fri Dec 20 2024,SPX241220C03425000,0,0,2582.1,2588.6,0,0,1,0,0,3425.00,SPX241220P03425000,0.35,-0.125,0.3,0.45,1,0.5922,-0.0012,0,1912
Fri Dec 20 2024,SPX241220C03450000,0,0,2557.2,2563.7,0,0,1,0,14,3450.00,SPX241220P03450000,0.35,-0.175,0.3,0.45,1,0.5851,-0.0012,0,6244
Fri Dec 20 2024,SPX241220C03475000,0,0,2532.4,2538.9,0,0,0.9999,0,4,3475.00,SPX241220P03475000,0.4,-0.125,0.35,0.45,1,0.5812,-0.0013,0,1393
Fri Dec 20 2024,SPX241220C03500000,2515.82,0,2507.2,2514,0,0,0.9998,0,4024,3500.00,SPX241220P03500000,0.45,-0.125,0.35,0.5,240,0.5772,-0.0014,0,30747
Fri Dec 20 2024,SPX241220C03525000,0,0,2482.7,2489.2,0,0,0.9998,0,0,3525.00,SPX241220P03525000,0.4,-0.175,0.4,0.5,1,0.5731,-0.0014,0,2067
Fri Dec 20 2024,SPX241220C03550000,0,0,2457.9,2464.4,0,0,0.9997,0,29,3550.00,SPX241220P03550000,0.45,-0.2,0.4,0.5,1,0.5661,-0.0015,0,6428
Fri Dec 20 2024,SPX241220C03575000,0,0,2433,2439.5,0,0,0.9996,0,3,3575.00,SPX241220P03575000,0.45,-0.225,0.4,0.55,101,0.5618,-0.0016,0,878
Fri Dec 20 2024,SPX241220C03600000,2426.52,18.42,2407.7,2414.6,1,0,0.9995,0,1497,3600.00,SPX241220P03600000,0.5,-0.175,0.45,0.55,2,0.5574,-0.0017,0,24636
Fri Dec 20 2024,SPX241220C03625000,0,0,2383.4,2389.9,0,0,0.9994,0,3,3625.00,SPX241220P03625000,0.5,-0.225,0.45,0.6,51,0.5529,-0.0018,0,876
Fri Dec 20 2024,SPX241220C03650000,0,0,2358.2,2365,0,0,0.9993,0,78,3650.00,SPX241220P03650000,0.5,-0.225,0.5,0.6,101,0.5482,-0.0019,0,8785
Fri Dec 20 2024,SPX241220C03675000,0,0,2333.7,2340.2,0,0,0.9992,0,0,3675.00,SPX241220P03675000,0.55,-0.225,0.5,0.6,122,0.5413,-0.002,0,513
Fri Dec 20 2024,SPX241220C03700000,1584.86,0,2308.5,2315.4,0,0,0.9991,0,1054,3700.00,SPX241220P03700000,0.6,-0.2,0.5,0.7,698,0.5388,-0.0021,0,28516
Fri Dec 20 2024,SPX241220C03725000,0,0,2284,2290.5,0,0,0.999,0,0,3725.00,SPX241220P03725000,0.6,-0.225,0.55,0.7,1,0.534,-0.0022,0,2350
Fri Dec 20 2024,SPX241220C03750000,2138.41,0,2259.2,2265.7,0,0,0.9989,0,59,3750.00,SPX241220P03750000,0.65,-0.225,0.55,0.75,3,0.529,-0.0023,0,7717
Fri Dec 20 2024,SPX241220C03775000,0,0,2234.4,2240.9,0,0,0.9988,0,1,3775.00,SPX241220P03775000,0.7,-0.225,0.6,0.75,143,0.524,-0.0024,0,3146
Fri Dec 20 2024,SPX241220C03800000,2185.93,0,2209.2,2216,0,0,0.9987,0,3853,3800.00,SPX241220P03800000,0.7,-0.25,0.65,0.8,162,0.5208,-0.0025,0,24331
Fri Dec 20 2024,SPX241220C03825000,2032.3,0,2184.7,2191.2,0,0,0.9985,0,1,3825.00,SPX241220P03825000,0.75,-0.225,0.65,0.85,166,0.5158,-0.0027,0,2300
Fri Dec 20 2024,SPX241220C03850000,0,0,2159.9,2166.4,0,0.4131,0.9984,0,51,3850.00,SPX241220P03850000,0.75,-0.3,0.7,0.85,161,0.5105,-0.0028,0,7629
Fri Dec 20 2024,SPX241220C03875000,0,0,2135.1,2141.6,0,0.4312,0.9983,0,9,3875.00,SPX241220P03875000,0.8,-0.275,0.75,0.9,165,0.5069,-0.003,0,2013
Fri Dec 20 2024,SPX241220C03900000,1959.01,0,2109.9,2116.8,0,0.3379,0.9981,0,4410,3900.00,SPX241220P03900000,0.9,-0.225,0.75,0.95,83,0.5029,-0.0031,0,29997
Fri Dec 20 2024,SPX241220C03925000,0,0,2085.4,2091.9,0,0.4287,0.998,0,1,3925.00,SPX241220P03925000,0.85,-0.325,0.85,0.95,1,0.4975,-0.0032,0,2123
Fri Dec 20 2024,SPX241220C03950000,0,0,2060.1,2067,0,0,0.9978,0,792,3950.00,SPX241220P03950000,0.9,-0.325,0.85,1,3,0.4922,-0.0034,0,6508
Fri Dec 20 2024,SPX241220C03975000,0,0,2035.8,2042.3,0,0.4383,0.9976,0,2,3975.00,SPX241220P03975000,0.95,-0.325,0.9,1.05,1,0.4881,-0.0036,0,1245
Fri Dec 20 2024,SPX241220C04000000,2016.07,9.1,2010.6,2017.5,20401,0.4134,0.9975,0,285301,4000.00,SPX241220P04000000,1.05,-0.3,0.95,1.1,20440,0.484,-0.0037,0,321535
Fri Dec 20 2024,SPX241220C04025000,1833.22,0,1985.8,1992.7,0,0.4186,0.9973,0,160,4025.00,SPX241220P04025000,1.05,-0.375,1,1.15,9,0.4795,-0.0039,0,2177
Fri Dec 20 2024,SPX241220C04050000,0,0,1961,1967.9,0,0.4214,0.9971,0,272,4050.00,SPX241220P04050000,1.1,-0.375,1.05,1.2,26,0.4752,-0.0041,0,7663
Fri Dec 20 2024,SPX241220C04075000,0,0,1936,1943,0,0.4056,0.9969,0,266,4075.00,SPX241220P04075000,1.15,-0.375,1.1,1.25,1,0.4706,-0.0043,0,4600
Fri Dec 20 2024,SPX241220C04100000,1802.8,0,1911.4,1918.2,0,0.4186,0.9967,0,5404,4100.00,SPX241220P04100000,1.25,-0.325,1.15,1.3,1,0.466,-0.0045,0,28546
Fri Dec 20 2024,SPX241220C04125000,0,0,1886.6,1893.4,0,0.4185,0.9965,0,193,4125.00,SPX241220P04125000,1.3,-0.325,1.2,1.35,25,0.4613,-0.0047,0,9089
Fri Dec 20 2024,SPX241220C04150000,1700.29,0,1861.7,1868.6,0,0.414,0.9963,0,3917,4150.00,SPX241220P04150000,1.35,-0.4,1.25,1.4,7,0.4565,-0.0049,0,13680
Fri Dec 20 2024,SPX241220C04175000,0,0,1837.2,1843.8,0,0.4224,0.996,0,41,4175.00,SPX241220P04175000,1.45,-0.325,1.3,1.45,2,0.4517,-0.0052,0,2522
Fri Dec 20 2024,SPX241220C04200000,1552.92,0,1812.1,1819,0,0.4114,0.9958,0,13449,4200.00,SPX241220P04200000,1.5,-0.325,1.35,1.55,2004,0.4477,-0.0054,0,40231
Fri Dec 20 2024,SPX241220C04250000,1594.56,0,1762.5,1769.4,0,0.407,0.9953,0,1413,4250.00,SPX241220P04250000,1.56,-0.415,1.5,1.65,1,0.4385,-0.0059,0,12308
Fri Dec 20 2024,SPX241220C04275000,1474,0,1737.7,1744.6,0,0.4043,0.995,0,352,4275.00,SPX241220P04275000,1.7,-0.35,1.55,1.65,1,0.4326,-0.0062,0,6343
Fri Dec 20 2024,SPX241220C04300000,1607.84,0,1712.7,1719.8,0,0.3966,0.9947,0,10899,4300.00,SPX241220P04300000,1.7,-0.425,1.6,1.8,6,0.4291,-0.0064,0,38828
Fri Dec 20 2024,SPX241220C04325000,1538.8,0,1688.1,1695,0,0.3982,0.9944,0,301,4325.00,SPX241220P04325000,1.75,-0.475,1.65,1.85,12,0.4238,-0.0068,0,4561
Fri Dec 20 2024,SPX241220C04350000,1218,0,1663.3,1670.3,0,0.3967,0.9942,0,1497,4350.00,SPX241220P04350000,1.9,-0.375,1.75,1.9,205,0.4193,-0.007,0,9820
Fri Dec 20 2024,SPX241220C04375000,0,0,1638.5,1645.4,0,0.3912,0.9938,0,3276,4375.00,SPX241220P04375000,1.9,-0.475,1.8,2,46,0.4146,-0.0074,0,6277
Fri Dec 20 2024,SPX241220C04400000,1357.5,0,1613.6,1620.6,0,0.3856,0.9935,0,22812,4400.00,SPX241220P04400000,1.9,-0.575,1.9,2.05,4,0.4099,-0.0077,0,59777
Fri Dec 20 2024,SPX241220C04425000,1331.9,0,1588.9,1595.9,0,0.3852,0.9932,0,722,4425.00,SPX241220P04425000,2.05,-0.525,1.95,2.15,1,0.4051,-0.008,0,4813
Fri Dec 20 2024,SPX241220C04450000,1425.39,0,1564.2,1571.1,0,0.3826,0.9928,0,2458,4450.00,SPX241220P04450000,2.19,-0.46,2.05,2.2,200,0.4004,-0.0084,0,10063
Fri Dec 20 2024,SPX241220C04475000,1314.74,0,1539.2,1546.3,0,0.3754,0.9924,0,1030,4475.00,SPX241220P04475000,2.2,-0.55,2.1,2.3,1,0.3954,-0.0088,0,8810
Fri Dec 20 2024,SPX241220C04500000,1518.8,3.5,1514.6,1521.5,1,0.374,0.992,0,21136,4500.00,SPX241220P04500000,2.33,-0.52,2.2,2.4,892,0.391,-0.0092,0,48942
Fri Dec 20 2024,SPX241220C04525000,0,0,1489.8,1496.8,0,0.3708,0.9916,0,760,4525.00,SPX241220P04525000,2.45,-0.5,2.3,2.45,1,0.3858,-0.0096,0,5670
